Format Version,1.24,Take Name,Take 2026-08-04 03.46.00 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.46.01.395 ,Capture Start Frame,1014900,Total Frames in Take,7858,Total Exported Frames,7858,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1257,Unlabeled 1257,Unlabeled 1257
,ID,,"1E2B512B900B11F1794CD665D3A07481","1E2B512B900B11F1794CD665D3A07481","1E2B512B900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","5BDFB6146D28FE711F1","5BDFB6146D28FE711F1","5BDFB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
116,0.966667,15:47:08:16.02,-92.017540,311.554535,134.105972,-92.190140,318.421143,134.556900,-92.021927,313.824707,137.263306,,,
117,0.975000,15:47:08:16.03,-92.018227,311.555878,134.105438,-92.188980,318.421448,134.557693,-92.019943,313.824219,137.262115,,,
118,0.983333,15:47:08:17.00,-92.018173,311.554962,134.106613,-92.206802,318.429596,134.560669,-92.021469,313.824554,137.263428,,,
119,0.991667,15:47:08:17.01,-92.021736,311.554840,134.106796,-92.190811,318.421326,134.556519,-92.020851,313.824615,137.263458,,,
120,1.000000,15:47:08:17.02,-92.019402,311.554565,134.106903,-92.188683,318.421356,134.556564,-92.021217,313.824738,137.263641,,,
121,1.008333,15:47:08:17.03,-92.019798,311.554565,134.106918,-92.189232,318.421631,134.557281,-92.021591,313.823914,137.263031,,,
122,1.016667,15:47:08:18.00,-92.018723,311.554565,134.106857,-92.189041,318.421204,134.557144,-92.022003,313.825745,137.262909,,,
123,1.025000,15:47:08:18.01,-92.019600,311.555359,134.106201,-92.190300,318.421204,134.556915,-92.020088,313.825043,137.263367,,,
124,1.033333,15:47:08:18.02,-92.018959,311.556091,134.106689,-92.191002,318.421234,134.557693,-92.020660,313.825287,137.262589,,,
125,1.041667,15:47:08:18.03,-92.017563,311.553894,134.106705,-92.188896,318.421844,134.556274,-92.020409,313.824951,137.263550,,,
