Format Version,1.24,Take Name,Take 2026-08-04 03.39.02 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.39.03.026 ,Capture Start Frame,964696,Total Frames in Take,8024,Total Exported Frames,8024,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237
,ID,,"253C9560900A11F1794CD665D3A07481","253C9560900A11F1794CD665D3A07481","253C9560900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","5B7FB6146D28FE711F1","5B7FB6146D28FE711F1","5B7FB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
48,0.400000,15:40:09:18.01,-92.023216,311.560059,134.113342,-92.192657,318.431122,134.554932,-92.020775,313.828918,137.267227,,,
49,0.408333,15:40:09:18.02,-92.019119,311.559540,134.111816,-92.192291,318.429718,134.554214,-92.022011,313.830139,137.268127,,,
50,0.416667,15:40:09:18.03,-92.019798,311.560303,134.112350,-92.193314,318.430756,134.554718,-92.022522,313.829956,137.268326,,,
51,0.425000,15:40:09:19.00,-92.020210,311.559753,134.113434,-92.194321,318.430389,134.557419,-92.020859,313.829224,137.267715,,,
52,0.433333,15:40:09:19.01,-92.020294,311.560211,134.112091,-92.192696,318.430237,134.555298,-92.020752,313.830017,137.266998,,,
53,0.441667,15:40:09:19.02,-92.018311,311.560913,134.111450,-92.193214,318.430695,134.555084,-92.021683,313.829498,137.267563,,,
54,0.450000,15:40:09:19.03,-92.019463,311.559875,134.111542,-92.193542,318.430298,134.557968,-92.021149,313.828918,137.267914,,,
55,0.458333,15:40:09:20.00,-92.019028,311.559784,134.111298,-92.192932,318.430176,134.555145,-92.021812,313.830414,137.267807,,,
56,0.466667,15:40:09:20.01,-92.020432,311.560516,134.112915,-92.195282,318.429840,134.557831,-92.020927,313.828522,137.266602,,,
57,0.475000,15:40:09:20.02,-92.021111,311.560425,134.111496,-92.195259,318.430084,134.559128,-92.022209,313.829865,137.267868,,,
58,0.483333,15:40:09:20.03,-92.019760,311.559479,134.111374,-92.194908,318.430054,134.558350,-92.020889,313.829620,137.267090,,,
59,0.491667,15:40:09:21.00,-92.019432,311.560516,134.112106,-92.194107,318.431366,134.555130,-92.021912,313.829193,137.266861,,,
60,0.500000,15:40:09:21.01,-92.020164,311.561157,134.111603,-92.193092,318.431458,134.555328,-92.021736,313.829224,137.267883,,,
61,0.508333,15:40:09:21.02,-92.020081,311.559692,134.111450,-92.195145,318.429565,134.557220,-92.021362,313.829529,137.267578,,,
62,0.516667,15:40:09:21.03,-92.020119,311.560059,134.112411,-92.192444,318.431030,134.554855,-92.021896,313.829865,137.268127,,,
63,0.525000,15:40:09:22.00,-92.018806,311.560211,134.112625,-92.195694,318.429932,134.558685,-92.021355,313.828949,137.267273,,,
64,0.533333,15:40:09:22.01,-92.017632,311.559753,134.111252,-92.194717,318.430939,134.557449,-92.021118,313.828674,137.267731,,,
65,0.541667,15:40:09:22.02,-92.020218,311.560059,134.112671,-92.196449,318.430847,134.558350,-92.029472,313.828674,137.268707,,,
66,0.550000,15:40:09:22.03,-92.020195,311.560120,134.112518,-92.195389,318.429779,134.558899,-92.021568,313.828888,137.267075,,,
67,0.558333,15:40:09:23.00,-92.020210,311.559418,134.112274,-92.193108,318.430908,134.555405,-92.021339,313.830261,137.267715,,,
